run,process,part,argument,duration
2,index,embed,07 - Document DBs and Mongo,1.477264404296875
2,index,store,07 - Document DBs and Mongo,2.666795253753662
2,index,embed,08 - PyMongo,0.30860042572021484
2,index,store,08 - PyMongo,0.5241000652313232
2,index,embed,09 - Introduction to Graph Data Model,0.8777155876159668
2,index,store,09 - Introduction to Graph Data Model,1.6122093200683594
2,index,embed,10 - Neo4j,0.9737982749938965
2,index,store,10 - Neo4j,1.5861303806304932
2,index,embed,11 - AWS Intro,0.7487277984619141
2,index,store,11 - AWS Intro,1.377225637435913
2,index,embed,12 - EC2 & Lambda,0.9945998191833496
2,index,store,12 - EC2 & Lambda,1.9722929000854492
2,index,embed,B- Trees Notes,0.29529309272766113
2,index,store,B- Trees Notes,0.4121897220611572
2,index,embed,DS4300 Notes E1,0.4797329902648926
2,index,store,DS4300 Notes E1,0.5445594787597656
2,search,embed,What is the capital of France?,0.02407979965209961
2,search,query,What is the capital of France?,0.0580601692199707
2,search,embed,What does the C stand for in ACID?,0.012080669403076172
2,search,query,What does the C stand for in ACID?,0.05445575714111328
2,search,embed,What type of database is Neo4j?,0.01145625114440918
2,search,query,What type of database is Neo4j?,0.05104708671569824
2,search,embed,Who created MongoDB?,0.01570415496826172
2,search,query,Who created MongoDB?,0.0550229549407959
2,search,embed,Which is faster for random access: a linked list or an array?,0.027751684188842773
2,search,query,Which is faster for random access: a linked list or an array?,0.04705095291137695
3,index,embed,02 - Foundations,0.22537779808044434
3,index,store,02 - Foundations,0.051842689514160156
3,index,embed,03 - Moving Beyond the Relational Model,0.33388400077819824
3,index,store,03 - Moving Beyond the Relational Model,0.07862162590026855
3,index,embed,04 - Data Replication,0.37244319915771484
3,index,store,04 - Data Replication,0.08273053169250488
3,index,embed,05 - NoSQL Intro + KV DBs,0.5545594692230225
3,index,store,05 - NoSQL Intro + KV DBs,0.12027359008789062
3,index,embed,06 - Redis + Python,0.26293230056762695
3,index,store,06 - Redis + Python,0.05156826972961426
3,index,embed,07 - Document DBs and Mongo,0.5745100975036621
3,index,store,07 - Document DBs and Mongo,0.11430096626281738
3,index,embed,08 - PyMongo,0.10864710807800293
3,index,store,08 - PyMongo,0.0233609676361084
3,index,embed,09 - Introduction to Graph Data Model,0.304764986038208
3,index,store,09 - Introduction to Graph Data Model,0.06725215911865234
3,index,embed,10 - Neo4j,0.26757168769836426
3,index,store,10 - Neo4j,0.062349796295166016
3,index,embed,11 - AWS Intro,0.253065824508667
3,index,store,11 - AWS Intro,0.05812788009643555
3,index,embed,12 - EC2 & Lambda,0.4041764736175537
3,index,store,12 - EC2 & Lambda,0.09224224090576172
3,index,embed,B- Trees Notes,0.07813358306884766
3,index,store,B- Trees Notes,0.01725625991821289
3,index,embed,DS4300 Notes E1,0.12356972694396973
3,index,store,DS4300 Notes E1,0.024871110916137695
3,search,embed,What is the capital of France?,0.012650489807128906
3,search,query,What is the capital of France?,1.2401692867279053
3,search,embed,What does the C stand for in ACID?,0.016126155853271484
3,search,query,What does the C stand for in ACID?,0.010574817657470703
3,search,embed,What type of database is Neo4j?,0.015630722045898438
3,search,query,What type of database is Neo4j?,0.010618209838867188
3,search,embed,Who created MongoDB?,0.015525341033935547
3,search,query,Who created MongoDB?,0.010044336318969727
3,search,embed,Which is faster for random access: a linked list or an array?,0.026418209075927734
3,search,query,Which is faster for random access: a linked list or an array?,0.011527061462402344
4,index,embed,02 - Foundations,0.38051652908325195
4,index,store,02 - Foundations,0.014987468719482422
4,index,embed,03 - Moving Beyond the Relational Model,0.2514221668243408
4,index,store,03 - Moving Beyond the Relational Model,0.029448509216308594
4,index,embed,04 - Data Replication,0.2344210147857666
4,index,store,04 - Data Replication,0.029587745666503906
4,index,embed,05 - NoSQL Intro + KV DBs,0.36929845809936523
4,index,store,05 - NoSQL Intro + KV DBs,0.04703021049499512
4,index,embed,06 - Redis + Python,0.15103459358215332
4,index,store,06 - Redis + Python,0.016007184982299805
4,index,embed,07 - Document DBs and Mongo,0.30506086349487305
4,index,store,07 - Document DBs and Mongo,0.04210352897644043
4,index,embed,08 - PyMongo,0.06862735748291016
4,index,store,08 - PyMongo,0.008056163787841797
4,index,embed,09 - Introduction to Graph Data Model,0.17557883262634277
4,index,store,09 - Introduction to Graph Data Model,0.02797722816467285
4,index,embed,10 - Neo4j,0.20864462852478027
4,index,store,10 - Neo4j,0.024001598358154297
4,index,embed,11 - AWS Intro,0.1715376377105713
4,index,store,11 - AWS Intro,0.021511554718017578
4,index,embed,12 - EC2 & Lambda,0.21352505683898926
4,index,store,12 - EC2 & Lambda,0.0270078182220459
4,index,embed,B- Trees Notes,0.06452345848083496
4,index,store,B- Trees Notes,0.007998228073120117
4,index,embed,DS4300 Notes E1,0.12886404991149902
4,index,store,DS4300 Notes E1,0.009015083312988281
4,search,embed,What is the capital of France?,0.007000446319580078
4,search,query,What is the capital of France?,0.0009984970092773438
4,search,embed,What does the C stand for in ACID?,0.008541584014892578
4,search,query,What does the C stand for in ACID?,0.0009980201721191406
4,search,embed,What type of database is Neo4j?,0.006548643112182617
4,search,query,What type of database is Neo4j?,0.001997232437133789
4,search,embed,Who created MongoDB?,0.009535789489746094
4,search,query,Who created MongoDB?,0.000993490219116211
4,search,embed,Which is faster for random access: a linked list or an array?,0.007042646408081055
4,search,query,Which is faster for random access: a linked list or an array?,0.0009987354278564453
5,index,embed,02 - Foundations,0.14855194091796875
5,index,store,02 - Foundations,1.036623477935791
5,index,embed,03 - Moving Beyond the Relational Model,0.23648619651794434
5,index,store,03 - Moving Beyond the Relational Model,1.7637848854064941
5,index,embed,04 - Data Replication,0.25908899307250977
5,index,store,04 - Data Replication,1.8559565544128418
5,index,embed,05 - NoSQL Intro + KV DBs,0.39981961250305176
5,index,store,05 - NoSQL Intro + KV DBs,2.693235397338867
5,index,embed,06 - Redis + Python,0.16321921348571777
5,index,store,06 - Redis + Python,1.2047193050384521
5,index,embed,07 - Document DBs and Mongo,0.34330177307128906
5,index,store,07 - Document DBs and Mongo,2.679609537124634
5,index,embed,08 - PyMongo,0.07105398178100586
5,index,store,08 - PyMongo,0.5879526138305664
5,index,embed,09 - Introduction to Graph Data Model,0.19862771034240723
5,index,store,09 - Introduction to Graph Data Model,1.7897324562072754
5,index,embed,10 - Neo4j,0.22585368156433105
5,index,store,10 - Neo4j,1.6797919273376465
5,index,embed,11 - AWS Intro,0.18665313720703125
5,index,store,11 - AWS Intro,1.4713075160980225
5,index,embed,12 - EC2 & Lambda,0.23645448684692383
5,index,store,12 - EC2 & Lambda,1.93168306350708
5,index,embed,B- Trees Notes,0.07367730140686035
5,index,store,B- Trees Notes,0.3928956985473633
5,index,embed,DS4300 Notes E1,0.13604092597961426
5,index,store,DS4300 Notes E1,0.5234925746917725
5,search,embed,What is the capital of France?,0.008559703826904297
5,search,query,What is the capital of France?,0.06201052665710449
5,search,embed,What does the C stand for in ACID?,0.007534503936767578
5,search,query,What does the C stand for in ACID?,0.05051851272583008
5,search,embed,What type of database is Neo4j?,0.007031679153442383
5,search,query,What type of database is Neo4j?,0.06414341926574707
5,search,embed,Who created MongoDB?,0.007529497146606445
5,search,query,Who created MongoDB?,0.04600191116333008
5,search,embed,Which is faster for random access: a linked list or an array?,0.008096933364868164
5,search,query,Which is faster for random access: a linked list or an array?,0.04750466346740723
6,index,embed,02 - Foundations,0.14353203773498535
6,index,store,02 - Foundations,0.07051634788513184
6,index,embed,03 - Moving Beyond the Relational Model,0.2300581932067871
6,index,store,03 - Moving Beyond the Relational Model,0.11503386497497559
6,index,embed,04 - Data Replication,0.2458944320678711
6,index,store,04 - Data Replication,0.1213686466217041
6,index,embed,05 - NoSQL Intro + KV DBs,0.3638267517089844
6,index,store,05 - NoSQL Intro + KV DBs,0.17769265174865723
6,index,embed,06 - Redis + Python,0.15598034858703613
6,index,store,06 - Redis + Python,0.07137060165405273
6,index,embed,07 - Document DBs and Mongo,0.3130762577056885
6,index,store,07 - Document DBs and Mongo,0.16766119003295898
6,index,embed,08 - PyMongo,0.06399798393249512
6,index,store,08 - PyMongo,0.03404808044433594
6,index,embed,09 - Introduction to Graph Data Model,0.17755818367004395
6,index,store,09 - Introduction to Graph Data Model,0.10543465614318848
6,index,embed,10 - Neo4j,0.22706317901611328
6,index,store,10 - Neo4j,0.107086181640625
6,index,embed,11 - AWS Intro,0.18196845054626465
6,index,store,11 - AWS Intro,0.08602118492126465
6,index,embed,12 - EC2 & Lambda,0.2148287296295166
6,index,store,12 - EC2 & Lambda,0.12362432479858398
6,index,embed,B- Trees Notes,0.0746009349822998
6,index,store,B- Trees Notes,0.023001909255981445
6,index,embed,DS4300 Notes E1,0.13951420783996582
6,index,store,DS4300 Notes E1,0.03352928161621094
6,search,embed,What is the capital of France?,0.009000778198242188
6,search,query,What is the capital of France?,1.2472827434539795
6,search,embed,What does the C stand for in ACID?,0.0075266361236572266
6,search,query,What does the C stand for in ACID?,0.011000394821166992
6,search,embed,What type of database is Neo4j?,0.007526874542236328
6,search,query,What type of database is Neo4j?,0.0110015869140625
6,search,embed,Who created MongoDB?,0.010977745056152344
6,search,query,Who created MongoDB?,0.011138916015625
6,search,embed,Which is faster for random access: a linked list or an array?,0.008535385131835938
6,search,query,Which is faster for random access: a linked list or an array?,0.010997295379638672
7,index,embed,02 - Foundations,1.6828875541687012
7,index,store,02 - Foundations,0.019433021545410156
7,index,embed,03 - Moving Beyond the Relational Model,1.1759614944458008
7,index,store,03 - Moving Beyond the Relational Model,0.03201150894165039
7,index,embed,04 - Data Replication,1.0685720443725586
7,index,store,04 - Data Replication,0.0300750732421875
7,index,embed,05 - NoSQL Intro + KV DBs,1.7323691844940186
7,index,store,05 - NoSQL Intro + KV DBs,0.048026323318481445
7,index,embed,06 - Redis + Python,0.7368478775024414
7,index,store,06 - Redis + Python,0.01900315284729004
7,index,embed,07 - Document DBs and Mongo,1.5463535785675049
7,index,store,07 - Document DBs and Mongo,0.04787755012512207
7,index,embed,08 - PyMongo,0.33128976821899414
7,index,store,08 - PyMongo,0.009991168975830078
7,index,embed,09 - Introduction to Graph Data Model,0.8378016948699951
7,index,store,09 - Introduction to Graph Data Model,0.032503366470336914
7,index,embed,10 - Neo4j,1.1118519306182861
7,index,store,10 - Neo4j,0.03300881385803223
7,index,embed,11 - AWS Intro,0.9494352340698242
7,index,store,11 - AWS Intro,0.027800321578979492
7,index,embed,12 - EC2 & Lambda,1.0626862049102783
7,index,store,12 - EC2 & Lambda,0.03400540351867676
7,index,embed,B- Trees Notes,0.41842103004455566
7,index,store,B- Trees Notes,0.0070552825927734375
7,index,embed,DS4300 Notes E1,0.7963035106658936
7,index,store,DS4300 Notes E1,0.011554241180419922
7,search,embed,What is the capital of France?,0.03199958801269531
7,search,query,What is the capital of France?,0.001001596450805664
7,search,embed,What does the C stand for in ACID?,0.036536216735839844
7,search,query,What does the C stand for in ACID?,0.0010006427764892578
7,search,embed,What type of database is Neo4j?,0.03106856346130371
7,search,query,What type of database is Neo4j?,0.000997781753540039
7,search,embed,Who created MongoDB?,0.03253936767578125
7,search,query,Who created MongoDB?,0.0009987354278564453
7,search,embed,Which is faster for random access: a linked list or an array?,0.03453826904296875
7,search,query,Which is faster for random access: a linked list or an array?,0.0019905567169189453
8,index,embed,02 - Foundations,0.7489993572235107
8,index,store,02 - Foundations,1.0908253192901611
8,index,embed,03 - Moving Beyond the Relational Model,1.1731140613555908
8,index,store,03 - Moving Beyond the Relational Model,1.8110761642456055
8,index,embed,04 - Data Replication,1.0722403526306152
8,index,store,04 - Data Replication,1.86733078956604
8,index,embed,05 - NoSQL Intro + KV DBs,1.8810644149780273
8,index,store,05 - NoSQL Intro + KV DBs,2.775679111480713
8,index,embed,06 - Redis + Python,0.7678322792053223
8,index,store,06 - Redis + Python,1.2019250392913818
8,index,embed,07 - Document DBs and Mongo,1.599196195602417
8,index,store,07 - Document DBs and Mongo,2.5822036266326904
8,index,embed,08 - PyMongo,0.34442806243896484
8,index,store,08 - PyMongo,0.4539949893951416
8,index,embed,09 - Introduction to Graph Data Model,0.8486580848693848
8,index,store,09 - Introduction to Graph Data Model,1.6381523609161377
8,index,embed,10 - Neo4j,1.0872395038604736
8,index,store,10 - Neo4j,1.6398439407348633
8,index,embed,11 - AWS Intro,0.8459310531616211
8,index,store,11 - AWS Intro,1.3503262996673584
8,index,embed,12 - EC2 & Lambda,1.0623142719268799
8,index,store,12 - EC2 & Lambda,2.046424150466919
8,index,embed,B- Trees Notes,0.38532352447509766
8,index,store,B- Trees Notes,0.3944261074066162
8,index,embed,DS4300 Notes E1,0.770421028137207
8,index,store,DS4300 Notes E1,0.5729799270629883
8,search,embed,What is the capital of France?,0.03668332099914551
8,search,query,What is the capital of France?,0.054854631423950195
8,search,embed,What does the C stand for in ACID?,0.035533905029296875
8,search,query,What does the C stand for in ACID?,0.049004316329956055
8,search,embed,What type of database is Neo4j?,0.033751487731933594
8,search,query,What type of database is Neo4j?,0.051004886627197266
8,search,embed,Who created MongoDB?,0.0322420597076416
8,search,query,Who created MongoDB?,0.051329851150512695
8,search,embed,Which is faster for random access: a linked list or an array?,0.03955364227294922
8,search,query,Which is faster for random access: a linked list or an array?,0.05050992965698242
9,index,embed,02 - Foundations,0.7528722286224365
9,index,store,02 - Foundations,0.07387614250183105
9,index,embed,03 - Moving Beyond the Relational Model,1.1193997859954834
9,index,store,03 - Moving Beyond the Relational Model,0.10662484169006348
9,index,embed,04 - Data Replication,1.0548427104949951
9,index,store,04 - Data Replication,0.11352300643920898
9,index,embed,05 - NoSQL Intro + KV DBs,1.7898459434509277
9,index,store,05 - NoSQL Intro + KV DBs,0.17508602142333984
9,index,embed,06 - Redis + Python,0.7525537014007568
9,index,store,06 - Redis + Python,0.07143068313598633
9,index,embed,07 - Document DBs and Mongo,1.5508816242218018
9,index,store,07 - Document DBs and Mongo,0.16230177879333496
9,index,embed,08 - PyMongo,0.3428499698638916
9,index,store,08 - PyMongo,0.03100109100341797
9,index,embed,09 - Introduction to Graph Data Model,0.8668954372406006
9,index,store,09 - Introduction to Graph Data Model,0.1055300235748291
9,index,embed,10 - Neo4j,1.0918478965759277
9,index,store,10 - Neo4j,0.10502791404724121
9,index,embed,11 - AWS Intro,0.8866729736328125
9,index,store,11 - AWS Intro,0.0840916633605957
9,index,embed,12 - EC2 & Lambda,0.9913265705108643
9,index,store,12 - EC2 & Lambda,0.12299942970275879
9,index,embed,B- Trees Notes,0.3761296272277832
9,index,store,B- Trees Notes,0.022309303283691406
9,index,embed,DS4300 Notes E1,0.7719416618347168
9,index,store,DS4300 Notes E1,0.03302335739135742
9,search,embed,What is the capital of France?,0.03200173377990723
9,search,query,What is the capital of France?,1.1570789813995361
9,search,embed,What does the C stand for in ACID?,0.0305330753326416
9,search,query,What does the C stand for in ACID?,0.011010169982910156
9,search,embed,What type of database is Neo4j?,0.03353428840637207
9,search,query,What type of database is Neo4j?,0.010997295379638672
9,search,embed,Who created MongoDB?,0.03153276443481445
9,search,query,Who created MongoDB?,0.01199960708618164
9,search,embed,Which is faster for random access: a linked list or an array?,0.029535770416259766
9,search,query,Which is faster for random access: a linked list or an array?,0.010996818542480469
10,index,embed,02 - Foundations,0.24004745483398438
10,index,store,02 - Foundations,0.007781267166137695
10,index,embed,03 - Moving Beyond the Relational Model,0.38694190979003906
10,index,store,03 - Moving Beyond the Relational Model,0.015110492706298828
10,index,embed,04 - Data Replication,0.39640045166015625
10,index,store,04 - Data Replication,0.016625642776489258
10,index,embed,05 - NoSQL Intro + KV DBs,0.6008145809173584
10,index,store,05 - NoSQL Intro + KV DBs,0.02136969566345215
10,index,embed,06 - Redis + Python,0.20367765426635742
10,index,store,06 - Redis + Python,0.009457826614379883
10,index,embed,07 - Document DBs and Mongo,0.4749755859375
10,index,store,07 - Document DBs and Mongo,0.021716833114624023
10,index,embed,08 - PyMongo,0.07987809181213379
10,index,store,08 - PyMongo,0.0031540393829345703
10,index,embed,09 - Introduction to Graph Data Model,0.26450443267822266
10,index,store,09 - Introduction to Graph Data Model,0.011989355087280273
10,index,embed,10 - Neo4j,0.29187917709350586
10,index,store,10 - Neo4j,0.02127242088317871
10,index,embed,11 - AWS Intro,0.21508383750915527
10,index,store,11 - AWS Intro,0.010892629623413086
10,index,embed,12 - EC2 & Lambda,0.3388986587524414
10,index,store,12 - EC2 & Lambda,0.016663551330566406
10,index,embed,B- Trees Notes,0.06915450096130371
10,index,store,B- Trees Notes,0.004094839096069336
10,index,embed,DS4300 Notes E1,0.10900759696960449
10,index,store,DS4300 Notes E1,0.0071485042572021484
10,search,embed,What is the capital of France?,0.023527860641479492
10,search,query,What is the capital of France?,0.0015871524810791016
10,search,embed,What does the C stand for in ACID?,0.012039661407470703
10,search,query,What does the C stand for in ACID?,0.0015289783477783203
10,search,embed,What type of database is Neo4j?,0.0241701602935791
10,search,query,What type of database is Neo4j?,0.0015287399291992188
10,search,embed,Who created MongoDB?,0.010879755020141602
10,search,query,Who created MongoDB?,0.0015246868133544922
10,search,embed,Which is faster for random access: a linked list or an array?,0.015639066696166992
10,search,query,Which is faster for random access: a linked list or an array?,0.0015254020690917969
11,index,embed,02 - Foundations,0.1846020221710205
11,index,store,02 - Foundations,1.061328411102295
11,index,embed,03 - Moving Beyond the Relational Model,0.5313541889190674
11,index,store,03 - Moving Beyond the Relational Model,1.7045307159423828
11,index,embed,04 - Data Replication,1.0199522972106934
11,index,store,04 - Data Replication,1.8529980182647705
11,index,embed,05 - NoSQL Intro + KV DBs,1.591747760772705
11,index,store,05 - NoSQL Intro + KV DBs,2.886892080307007
11,index,embed,06 - Redis + Python,0.6859886646270752
11,index,store,06 - Redis + Python,1.1234214305877686
11,index,embed,07 - Document DBs and Mongo,1.4788322448730469
11,index,store,07 - Document DBs and Mongo,2.658778429031372
11,index,embed,08 - PyMongo,0.317396879196167
11,index,store,08 - PyMongo,0.5558419227600098
11,index,embed,09 - Introduction to Graph Data Model,0.8908138275146484
11,index,store,09 - Introduction to Graph Data Model,1.6270027160644531
11,index,embed,10 - Neo4j,0.9942703247070312
11,index,store,10 - Neo4j,1.7477548122406006
11,index,embed,11 - AWS Intro,0.7659409046173096
11,index,store,11 - AWS Intro,1.3665874004364014
11,index,embed,12 - EC2 & Lambda,1.0066545009613037
11,index,store,12 - EC2 & Lambda,1.9452011585235596
11,index,embed,B- Trees Notes,0.28783512115478516
11,index,store,B- Trees Notes,0.4010350704193115
11,index,embed,DS4300 Notes E1,0.2976086139678955
11,index,store,DS4300 Notes E1,0.5135409832000732
11,search,embed,What is the capital of France?,0.02430415153503418
11,search,query,What is the capital of France?,0.05874824523925781
11,search,embed,What does the C stand for in ACID?,0.021661996841430664
11,search,query,What does the C stand for in ACID?,0.04544806480407715
11,search,embed,What type of database is Neo4j?,0.01204681396484375
11,search,query,What type of database is Neo4j?,0.05126833915710449
11,search,embed,Who created MongoDB?,0.01130819320678711
11,search,query,Who created MongoDB?,0.04949665069580078
11,search,embed,Which is faster for random access: a linked list or an array?,0.024311304092407227
11,search,query,Which is faster for random access: a linked list or an array?,0.05780816078186035
12,index,embed,02 - Foundations,0.2377486228942871
12,index,store,02 - Foundations,0.05759787559509277
12,index,embed,03 - Moving Beyond the Relational Model,0.2987809181213379
12,index,store,03 - Moving Beyond the Relational Model,0.07913446426391602
12,index,embed,04 - Data Replication,0.3887820243835449
12,index,store,04 - Data Replication,0.08726906776428223
12,index,embed,05 - NoSQL Intro + KV DBs,0.5712583065032959
12,index,store,05 - NoSQL Intro + KV DBs,0.13332486152648926
12,index,embed,06 - Redis + Python,0.22552728652954102
12,index,store,06 - Redis + Python,0.05010080337524414
12,index,embed,07 - Document DBs and Mongo,0.48308706283569336
12,index,store,07 - Document DBs and Mongo,0.1172177791595459
12,index,embed,08 - PyMongo,0.09715652465820312
12,index,store,08 - PyMongo,0.023205280303955078
12,index,embed,09 - Introduction to Graph Data Model,0.30698585510253906
12,index,store,09 - Introduction to Graph Data Model,0.07386994361877441
12,index,embed,10 - Neo4j,0.3059217929840088
12,index,store,10 - Neo4j,0.07317280769348145
12,index,embed,11 - AWS Intro,0.22596144676208496
12,index,store,11 - AWS Intro,0.06130361557006836
12,index,embed,12 - EC2 & Lambda,0.34675168991088867
12,index,store,12 - EC2 & Lambda,0.08591794967651367
12,index,embed,B- Trees Notes,0.08425760269165039
12,index,store,B- Trees Notes,0.017208576202392578
12,index,embed,DS4300 Notes E1,0.11244773864746094
12,index,store,DS4300 Notes E1,0.021667003631591797
12,search,embed,What is the capital of France?,0.01328277587890625
12,search,query,What is the capital of France?,0.8321118354797363
12,search,embed,What does the C stand for in ACID?,0.01641559600830078
12,search,query,What does the C stand for in ACID?,0.009527921676635742
12,search,embed,What type of database is Neo4j?,0.023383378982543945
12,search,query,What type of database is Neo4j?,0.010008811950683594
12,search,embed,Who created MongoDB?,0.02337503433227539
12,search,query,Who created MongoDB?,0.010534286499023438
12,search,embed,Which is faster for random access: a linked list or an array?,0.01439976692199707
12,search,query,Which is faster for random access: a linked list or an array?,0.011621713638305664
13,index,embed,02 - Foundations,0.1601390838623047
13,index,store,02 - Foundations,0.015009164810180664
13,index,embed,03 - Moving Beyond the Relational Model,0.22505569458007812
13,index,store,03 - Moving Beyond the Relational Model,0.025647640228271484
13,index,embed,04 - Data Replication,0.2235584259033203
13,index,store,04 - Data Replication,0.028096914291381836
13,index,embed,05 - NoSQL Intro + KV DBs,0.3540036678314209
13,index,store,05 - NoSQL Intro + KV DBs,0.04222226142883301
13,index,embed,06 - Redis + Python,0.14212250709533691
13,index,store,06 - Redis + Python,0.01599740982055664
13,index,embed,07 - Document DBs and Mongo,0.3057284355163574
13,index,store,07 - Document DBs and Mongo,0.040218353271484375
13,index,embed,08 - PyMongo,0.07551741600036621
13,index,store,08 - PyMongo,0.0069942474365234375
13,index,embed,09 - Introduction to Graph Data Model,0.17809176445007324
13,index,store,09 - Introduction to Graph Data Model,0.027000904083251953
13,index,embed,10 - Neo4j,0.20255708694458008
13,index,store,10 - Neo4j,0.025501489639282227
13,index,embed,11 - AWS Intro,0.17604637145996094
13,index,store,11 - AWS Intro,0.020998716354370117
13,index,embed,12 - EC2 & Lambda,0.2083444595336914
13,index,store,12 - EC2 & Lambda,0.029029369354248047
13,index,embed,B- Trees Notes,0.08007526397705078
13,index,store,B- Trees Notes,0.005700826644897461
13,index,embed,DS4300 Notes E1,0.1498703956604004
13,index,store,DS4300 Notes E1,0.007077932357788086
13,search,embed,What is the capital of France?,0.008211374282836914
13,search,query,What is the capital of France?,0.001504659652709961
13,search,embed,What does the C stand for in ACID?,0.008520126342773438
13,search,query,What does the C stand for in ACID?,0.0009996891021728516
13,search,embed,What type of database is Neo4j?,0.008522987365722656
13,search,query,What type of database is Neo4j?,0.0010006427764892578
13,search,embed,Who created MongoDB?,0.008107423782348633
13,search,query,Who created MongoDB?,0.00099945068359375
13,search,embed,Which is faster for random access: a linked list or an array?,0.007547616958618164
13,search,query,Which is faster for random access: a linked list or an array?,0.0010013580322265625
14,index,embed,02 - Foundations,0.15154814720153809
14,index,store,02 - Foundations,0.9926543235778809
14,index,embed,03 - Moving Beyond the Relational Model,0.2529780864715576
14,index,store,03 - Moving Beyond the Relational Model,1.812368392944336
14,index,embed,04 - Data Replication,0.22026681900024414
14,index,store,04 - Data Replication,1.838369369506836
14,index,embed,05 - NoSQL Intro + KV DBs,0.3893148899078369
14,index,store,05 - NoSQL Intro + KV DBs,2.7566044330596924
14,index,embed,06 - Redis + Python,0.15852117538452148
14,index,store,06 - Redis + Python,1.1251606941223145
14,index,embed,07 - Document DBs and Mongo,0.31844449043273926
14,index,store,07 - Document DBs and Mongo,2.747807502746582
14,index,embed,08 - PyMongo,0.0719759464263916
14,index,store,08 - PyMongo,0.5899069309234619
14,index,embed,09 - Introduction to Graph Data Model,0.18946051597595215
14,index,store,09 - Introduction to Graph Data Model,1.6577308177947998
14,index,embed,10 - Neo4j,0.2343902587890625
14,index,store,10 - Neo4j,1.447692632675171
14,index,embed,11 - AWS Intro,0.18497133255004883
14,index,store,11 - AWS Intro,1.4092214107513428
14,index,embed,12 - EC2 & Lambda,0.23311352729797363
14,index,store,12 - EC2 & Lambda,2.0016860961914062
14,index,embed,B- Trees Notes,0.07701516151428223
14,index,store,B- Trees Notes,0.4145679473876953
14,index,embed,DS4300 Notes E1,0.12835931777954102
14,index,store,DS4300 Notes E1,0.5659024715423584
14,search,embed,What is the capital of France?,0.009005308151245117
14,search,query,What is the capital of France?,0.06251788139343262
14,search,embed,What does the C stand for in ACID?,0.007005453109741211
14,search,query,What does the C stand for in ACID?,0.05251622200012207
14,search,embed,What type of database is Neo4j?,0.006534576416015625
14,search,query,What type of database is Neo4j?,0.05650901794433594
14,search,embed,Who created MongoDB?,0.008530378341674805
14,search,query,Who created MongoDB?,0.05960226058959961
14,search,embed,Which is faster for random access: a linked list or an array?,0.008540630340576172
14,search,query,Which is faster for random access: a linked list or an array?,0.05351114273071289
15,index,embed,02 - Foundations,0.15839910507202148
15,index,store,02 - Foundations,0.08234381675720215
15,index,embed,03 - Moving Beyond the Relational Model,0.23705625534057617
15,index,store,03 - Moving Beyond the Relational Model,0.12366604804992676
15,index,embed,04 - Data Replication,0.2387094497680664
